[etiya-devops@ip-10-94-160-62 ~]$ kubectl get service -A
NAMESPACE                    NAME                                                       TYPE           CLUSTER-IP       EXTERNAL-IP                                                           PORT(S)                                                                            AGE
bss-prod-eks-monitoring      redis-exporter-prometheus-redis-exporter                   ClusterIP      172.20.108.30    <none>                                                                9121/TCP                                                                            46h
bss-prod-eks-monitoring      tempo                                                      ClusterIP      172.20.55.226    <none>                                                                6831/UDP,6832/UDP,3200/TCP,9095/TCP,7946/TCP,14268/TCP,14250/TCP,9411/TCP,55680/TCP,55681/TCP,4317/TCP,4318/TCP,55678/TCP   104d
bss-prod-eks-monitoring      tempo-headless                                             ClusterIP      None             <none>                                                                6831/UDP,6832/UDP,3200/TCP,9095/TCP,7946/TCP,14268/TCP,14250/TCP,9411/TCP,55680/TCP,55681/TCP,4317/TCP,4318/TCP,55678/TCP   99d
bstp-cms-global-production   mariadb                                                    ClusterIP      172.20.36.40     <none>                                                                3306/TCP                                                                            37d
bstp-cms-global-production   mariadb-235ae77b-7df2-448b-a14f-a512d968d1e4               ExternalName   <none>           etiya-cloud-bss-prod-mysql.c1i6iu2asd4d.eu-west-1.rds.amazonaws.com   <none>                                                                            106d
bstp-cms-global-production   nginx                                                      ClusterIP      172.20.30.4      <none>                                                                8080/TCP                                                                            106d
bstp-cms-global-production   php-fpm-exporter                                           ClusterIP      172.20.38.240    <none>                                                                9253/TCP                                                                            37d
bstp-cms-global-production   readreplica-mariadb-29f80350-ff6b-4860-a2ab-8336d07980d6   ExternalName   <none>           etiya-cloud-bss-prod-mysql.c1i6iu2asd4d.eu-west-1.rds.amazonaws.com   <none>                                                                            106d
bstp-cms-global-production   redis                                                      ClusterIP      172.20.93.188    <none>                                                                6379/TCP                                                                            106d
bstp-cms-global-production   varnish                                                    ClusterIP      172.20.29.17     <none>                                                                8080/TCP,6082/TCP                                                                            37d
bstp-cms-prod-v3             mariadb                                                    ClusterIP      172.20.111.93    <none>                                                                3306/TCP                                                                            55d
bstp-cms-prod-v3             mariadb-def67a0f-e498-42cc-8d20-707939223b41               ExternalName   <none>           etiya-cloud-bss-prod-mysql.c1i6iu2asd4d.eu-west-1.rds.amazonaws.com   <none>                                                                            57d
bstp-cms-prod-v3             nginx                                                      ClusterIP      172.20.20.11     <none>                                                                8080/TCP                                                                            57d
bstp-cms-prod-v3             php-fpm-exporter                                           ClusterIP      172.20.221.167   <none>                                                                9253/TCP                                                                            38d
bstp-cms-prod-v3             readreplica-mariadb-2c40aad4-ff16-4e60-8e2e-d2983bc5891f   ExternalName   <none>           etiya-cloud-bss-prod-mysql.c1i6iu2asd4d.eu-west-1.rds.amazonaws.com   <none>                                                                            57d
bstp-cms-prod-v3             redis                                                      ClusterIP      172.20.224.221   <none>                                                                6379/TCP                                                                            57d
bstp-cms-prod-v3             varnish                                                    ClusterIP      172.20.211.18    <none>                                                                8080/TCP,6082/TCP                                                                            57d
default                      kubernetes                                                 ClusterIP      172.20.0.1       <none>                                                                443/TCP                                                                            154d
em-control-plane-prod        bss-saas-control-plane                                     ClusterIP      172.20.211.58    <none>                                                                8080/TCP                                                                            10d
em-control-plane-prod        bss-saas-control-plane-ui                                  ClusterIP      172.20.73.41     <none>                                                                8080/TCP                                                                            10d
em-control-plane-prod        bss-tenant-control-plane-batch                             ClusterIP      172.20.162.168   <none>                                                                8080/TCP                                                                            10d
em-control-plane-prod        eca                                                        ClusterIP      172.20.152.170   <none>                                                                80/TCP,9000/TCP                                                                            10d
em-control-plane-prod        headless-eca                                               ClusterIP      None             <none>                                                                80/TCP                                                                            10d
em-global-prod-3pp           active-mq                                                  ClusterIP      172.20.63.135    <none>                                                                8161/TCP,61616/TCP,5672/TCP,61613/TCP,1883/TCP                                                                            117d
em-global-prod-3pp           elasticsearch-coordinating-hl                              ClusterIP      None             <none>                                                                9200/TCP,9300/TCP                                                                            2d15h
