[etiya-devops@ip-10-94-160-62 ~]$ kubectl get service -A
NAMESPACE                    NAME                                                       TYPE           CLUSTER-IP       EXTERNAL-IP                                                           PORT(S)                                                                            AGE
em-prod                      bss-mc-ntf-engine                                          ClusterIP      172.20.20.227    <none>                                                                8080/TCP                                                                            55d
em-prod                      bss-mc-ntf-history                                         ClusterIP      172.20.19.33     <none>                                                                8080/TCP                                                                            55d
em-prod                      bss-mc-pcm-cfm                                             ClusterIP      172.20.228.254   <none>                                                                8080/TCP                                                                            55d
em-prod                      bss-mc-pcm-cms-integrator-em-prod                          ClusterIP      172.20.147.1     <none>                                                                8080/TCP                                                                            55d
em-prod                      bss-mc-pcm-next-gen-admintoolbox-config-manager            ClusterIP      172.20.81.126    <none>                                                                8080/TCP                                                                            55d
em-prod                      bss-mc-pcm-next-gen-admintoolbox-ui                        ClusterIP      172.20.19.39     <none>                                                                8080/TCP                                                                            55d
em-prod                      bss-mc-pcm-product-catalog                                 ClusterIP      172.20.99.88     <none>                                                                8080/TCP                                                                            55d
em-prod                      bss-mc-pcm-product-offer-detail                            ClusterIP      172.20.26.240    <none>                                                                8080/TCP                                                                            55d
em-prod                      bss-mc-rim                                                 ClusterIP      172.20.213.4     <none>                                                                8080/TCP                                                                            37d
em-prod                      bss-mc-rim-ui                                              ClusterIP      172.20.58.84     <none>                                                                8080/TCP                                                                            55d
em-prod                      bss-mc-ui-authz                                            ClusterIP      172.20.205.165   <none>                                                                8080/TCP                                                                            55d
em-prod                      bss-mc-user-management                                     ClusterIP      172.20.191.127   <none>                                                                8080/TCP                                                                            55d
em-prod                      bss-mc-wsc-new                                             ClusterIP      172.20.244.216   <none>                                                                8080/TCP                                                                            55d
em-prod                      bss-ntf-batch                                              ClusterIP      172.20.109.27    <none>                                                                8080/TCP                                                                            55d
em-prod                      eca                                                        ClusterIP      172.20.210.166   <none>                                                                80/TCP,9000/TCP                                                                            56d
em-prod                      headless-eca                                               ClusterIP      None             <none>                                                                80/TCP                                                                            56d
harbor                       harbor-core                                                ClusterIP      172.20.176.223   <none>                                                                80/TCP                                                                            112d
harbor                       harbor-database                                            ClusterIP      172.20.204.136   <none>                                                                5432/TCP                                                                            112d
harbor                       harbor-jobservice                                          ClusterIP      172.20.189.166   <none>                                                                80/TCP                                                                            112d
harbor                       harbor-portal                                              ClusterIP      172.20.126.93    <none>                                                                80/TCP                                                                            112d
harbor                       harbor-redis                                               ClusterIP      172.20.237.32    <none>                                                                6379/TCP                                                                            112d
harbor                       harbor-registry                                            ClusterIP      172.20.17.17     <none>                                                                5000/TCP,8080/TCP                                                                            112d
ingress-nginx                ingress-nginx-controller                                   NodePort       172.20.226.37    <none>                                                                80:31326/TCP,443:32661/TCP                                                                            112d
ingress-nginx                ingress-nginx-controller-admission                         ClusterIP      172.20.7.143     <none>                                                                443/TCP                                                                            112d
istio-ingress-wso2           istio-ingress-wso2                                         LoadBalancer   172.20.32.112    wso2-nlb-prod-0f4fa90812113f91.elb.eu-west-1.amazonaws.com            15021:31554/TCP,80:30609/TCP,443:30482/TCP                                                                            51d
istio-ingress                istio-ingress                                              NodePort       172.20.255.189   <none>                                                                15021:31020/TCP,80:30125/TCP,443:32703/TCP                                                                            150d
istio-system                 istiod                                                     ClusterIP      172.20.32.50     <none>                                                                15010/TCP,15012/TCP,443/TCP,15014/TCP                                                                            150d
kube-system                  aws-load-balancer-webhook-service                          ClusterIP      172.20.170.179   <none>                                                                443/TCP                                                                            150d
kube-system                  eks-extension-metrics-api                                  ClusterIP      172.20.58.109    <none>                                                                443/TCP                                                                            154d
kube-system                  karpenter                                                  ClusterIP      172.20.237.239   <none>                                                                8080/TCP                                                                            147d
kube-system                  kube-dns                                                   ClusterIP      172.20.0.10      <none>                                                                53/UDP,53/TCP,9153/TCP                                                                            154d
kube-system                  kube-prometheus-stack-bss-kubelet                          ClusterIP      None             <none>                                                                10250/TCP,10255/TCP,4194/TCP                                                                            110d
kube-system                  kube-prometheus-stack-coredns                              ClusterIP      None             <none>                                                                9153/TCP                                                                            104d
kube-system                  kube-prometheus-stack-kube-proxy                           ClusterIP      None             <none>                                                                10249/TCP                                                                            104d
kube-system                  kube-prometheus-stack-kubelet                              ClusterIP      None             <none>                                                                10250/TCP,10255/TCP,4194/TCP                                                                            112d
kube-system                  metrics-server                                             ClusterIP      172.20.85.12     <none>                                                                443/TCP                                                                            147d
lagoon                       application-logs                                           ExternalName   <none>           lagoon-logging-logs-dispatcher.lagoon-logging.svc.cluster.local       <none>                                                                            111d
lagoon                       dbaas                                                      ExternalName   <none>           lagoon-remote-dbaas-operator-http.lagoon.svc.cluster.local            <none>                                                                            111d
lagoon                       docker-host                                                ClusterIP      172.20.37.43     <none>                                                                2375/TCP                                                                            111d
lagoon                       docker-host-0                                              ClusterIP      172.20.52.242    <none>                                                                2375/TCP                                                                            98d
lagoon                       lagoon-remote-dbaas-operator                               ClusterIP      172.20.14.71     <none>                                                                8443/TCP                                                                            111d
lagoon                       lagoon-remote-dbaas-operator-http                          ClusterIP      172.20.205.2     <none>                                                                5000/TCP                                                                            111d
lagoon                       lagoon-remote-insights-remote                              ClusterIP      172.20.154.114   <none>                                                                80/TCP                                                                            98d
lagoon                       lagoon-remote-lagoon-build-deploy                          ClusterIP      172.20.12.200    <none>                                                                8443/TCP                                                                            111d
lagoon                       router-logs                                                ExternalName   <none>           lagoon-logging-logs-dispatcher.lagoon-logging.svc.cluster.local       <none>                                                                            111d
velero                       velero                                                     ClusterIP      172.20.24.62     <none>                                                                8085/TCP                                                                            30d
[etiya-devops@ip-10-94-160-62 ~]$
